canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Dharwad,09,2022,5,KARNATAKA POLICE ACT 1963,93,36.6,0.5924,"May 2022: 93 Karnataka Police Act 1963 in Dharwad vs ~37 expected (2.5x, z=2.2) - spike."
Vijayanagara,31,2016,1,CrPC,172,62.0,0.5908,"Jan 2016: 172 Crpc in Vijayanagara vs ~62 expected (2.8x, z=1.2) - spike."
Dharwad,09,2022,3,CYBER CRIME,43,15.8,0.5875,"Mar 2022: 43 Cyber Crime in Dharwad vs ~16 expected (2.7x, z=1.9) - spike."
Dakshina Kannada,24,2023,12,KARNATAKA POLICE ACT 1963,28,10.2,0.5872,"Dec 2023: 28 Karnataka Police Act 1963 in Dakshina Kannada vs ~10 expected (2.7x, z=2.0) - spike."
Gadag,08,2017,5,CrPC,267,102.3,0.5862,"May 2017: 267 Crpc in Gadag vs ~102 expected (2.6x, z=2.0) - spike."
Gadag,08,2021,5,Karnataka State Local Act,43,15.2,0.586,"May 2021: 43 Karnataka State Local Act in Gadag vs ~15 expected (2.8x, z=1.6) - spike."
Bengaluru Urban,20,2016,11,NEGLIGENT ACT,666,244.6,0.586,"Nov 2016: 666 Negligent Act in Bengaluru Urban vs ~245 expected (2.7x, z=1.6) - spike."
Bengaluru Rural,21,2017,6,CrPC,294,109.3,0.5833,"Jun 2017: 294 Crpc in Bengaluru Rural vs ~109 expected (2.7x, z=1.8) - spike."
Dharwad,09,2022,8,Karnataka State Local Act,47,16.5,0.5818,"Aug 2022: 47 Karnataka State Local Act in Dharwad vs ~16 expected (2.8x, z=1.4) - spike."
Gadag,08,2018,12,Karnataka State Local Act,50,18.4,0.5816,"Dec 2018: 50 Karnataka State Local Act in Gadag vs ~18 expected (2.7x, z=1.8) - spike."
Kodagu,25,2016,1,CrPC,322,121.0,0.5813,"Jan 2016: 322 Crpc in Kodagu vs ~121 expected (2.7x, z=1.7) - spike."
Bengaluru Urban,20,2023,4,CYBER CRIME,1385,539.2,0.5809,"Apr 2023: 1,385 Cyber Crime in Bengaluru Urban vs ~539 expected (2.6x, z=2.0) - spike."
Dharwad,09,2020,12,Karnataka State Local Act,54,19.4,0.5797,"Dec 2020: 54 Karnataka State Local Act in Dharwad vs ~19 expected (2.8x, z=1.6) - spike."
Udupi,16,2017,4,KARNATAKA POLICE ACT 1963,56,21.9,0.5792,"Apr 2017: 56 Karnataka Police Act 1963 in Udupi vs ~22 expected (2.6x, z=2.1) - spike."
Kodagu,25,2017,7,CrPC,279,103.3,0.5758,"Jul 2017: 279 Crpc in Kodagu vs ~103 expected (2.7x, z=1.5) - spike."
Dakshina Kannada,24,2023,7,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,94,36.8,0.5755,"Jul 2023: 94 Narcotic Drugs & Pshycotropic Substances in Dakshina Kannada vs ~37 expected (2.6x, z=2.0) - spike."
Ballari,12,2017,7,CrPC,236,91.0,0.5752,"Jul 2017: 236 Crpc in Ballari vs ~91 expected (2.6x, z=1.9) - spike."
Belagavi,01,2018,4,CrPC,465,172.0,0.5749,"Apr 2018: 465 Crpc in Belagavi vs ~172 expected (2.7x, z=1.3) - spike."
Dakshina Kannada,24,2017,10,Karnataka State Local Act,42,15.2,0.5742,"Oct 2017: 42 Karnataka State Local Act in Dakshina Kannada vs ~15 expected (2.8x, z=1.7) - spike."
Haveri,11,2016,1,Karnataka State Local Act,20,6.9,0.5728,"Jan 2016: 20 Karnataka State Local Act in Haveri vs ~7 expected (2.9x, z=1.3) - spike."
Ballari,12,2016,11,CrPC,29,10.4,0.5699,"Nov 2016: 29 Crpc in Ballari vs ~10 expected (2.8x, z=0.2) - spike."
Chikkaballapura,28,2017,10,CrPC,108,40.3,0.5692,"Oct 2017: 108 Crpc in Chikkaballapura vs ~40 expected (2.7x, z=0.4) - spike."
Haveri,11,2018,7,Karnataka State Local Act,30,11.1,0.5688,"Jul 2018: 30 Karnataka State Local Act in Haveri vs ~11 expected (2.7x, z=1.8) - spike."
Mandya,22,2016,11,Karnataka State Local Act,120,47.2,0.5662,"Nov 2016: 120 Karnataka State Local Act in Mandya vs ~47 expected (2.5x, z=2.0) - spike."
Shivamogga,15,2017,10,Karnataka State Local Act,92,36.2,0.5639,"Oct 2017: 92 Karnataka State Local Act in Shivamogga vs ~36 expected (2.5x, z=2.0) - spike."
Bengaluru Urban,20,2016,10,PUBLIC SAFETY,473,178.8,0.5637,"Oct 2016: 473 Public Safety in Bengaluru Urban vs ~179 expected (2.6x, z=0.7) - spike."
Dharwad,09,2023,1,CYBER CRIME,38,13.9,0.563,"Jan 2023: 38 Cyber Crime in Dharwad vs ~14 expected (2.7x, z=1.7) - spike."
Bengaluru Urban,20,2017,1,PUBLIC SAFETY,494,187.9,0.5629,"Jan 2017: 494 Public Safety in Bengaluru Urban vs ~188 expected (2.6x, z=0.7) - spike."
Koppal,07,2018,10,Karnataka State Local Act,47,17.4,0.5623,"Oct 2018: 47 Karnataka State Local Act in Koppal vs ~17 expected (2.7x, z=1.7) - spike."
Belagavi,01,2016,12,CrPC,164,62.0,0.5613,"Dec 2016: 164 Crpc in Belagavi vs ~62 expected (2.6x, z=0.5) - spike."
Uttara Kannada,10,2017,8,CrPC,114,43.0,0.5607,"Aug 2017: 114 Crpc in Uttara Kannada vs ~43 expected (2.7x, z=0.6) - spike."
Kolar,19,2017,6,CrPC,360,134.0,0.5606,"Jun 2017: 360 Crpc in Kolar vs ~134 expected (2.7x, z=1.5) - spike."
Koppal,07,2016,2,CrPC,139,54.0,0.5602,"Feb 2016: 139 Crpc in Koppal vs ~54 expected (2.6x, z=1.8) - spike."
Dharwad,09,2023,10,CYBER CRIME,40,15.0,0.5565,"Oct 2023: 40 Cyber Crime in Dharwad vs ~15 expected (2.7x, z=1.7) - spike."
