major_head,sub_head,count
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Nationalised Bank Personnel,29
INSULTING MODESTY OF WOMEN (EVE TEASING),Attempt To Commit,28
COMMUNAL / RELIGION,Attempt To Commit,28
WRONGFUL RESTRAINT/CONFINEMENT,To Extort Confession,28
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Electoral Gain,27
Karnataka State Local Act,Karnataka Panchayat Raj Act,27
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Sudden Quarrel,27
Karnataka State Local Act,Banning of Unregulated Deposit Schemes Act,27
RIOTS,Linguistic,27
Human Trafficking,Boy,27
RAPE,On Minor,27
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Jail Personnel,26
CRIMINAL TRESPASS,Hostel,26
ARSON,Industrial Establishment,25
COMMUNAL / RELIGION,Political Issue,25
DEATHS DUE TO RASHNESS/NEGLIGENCE,Fire Accident,24
MURDER,Gang Rivalry,24
Karnataka State Local Act,Karnataka Fire Force Act 1964,23
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Defence Personnel,23
KIDNAPPING AND ABDUCTION,Recovering Loan,23
Human Trafficking,Girl,23
MURDER,Due To Casteism,22
ATTEMPT TO MURDER,Dowry By Burning,22
CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),22
"POST & TELEGRAPH,TELEGRAPH WIRES(UNLAWFUL POSSESSION)ACT 1950","POST & TELEGRAPH, TELEGRAPH WIRES",21
RIOTS,Employee - Govt.,21
IMPERSONATION,Attempt To Commit,21
KIDNAPPING AND ABDUCTION,For Adoption,20
ARMS ACT 1959,Factory Made - Non Prohibited Bore - In Disturbed Area,20
DEFAMATION,Printed Matter,19
ASSAULT,On Other Dignitaries/Public Figures,19
RIOTS,Sectarian,19
Karnataka State Local Act,Karnataka Entertainment Tax Act 1958,19
CASES OF HURT,Attempt to Acid Attack (326(b)),19
Karnataka State Local Act,Karnataka Revenue Act,18
Karnataka State Local Act,Karnataka Medical Registration Act 1965,18
NEGLIGENT ACT,Boat/Vessel - Related,18
DEATHS DUE TO RASHNESS/NEGLIGENCE,Gas Leakage Accident,17
ARMS ACT 1959,Factory Made - Prohibited Bore - In Disturbed Area,17
UNLAWFUL ACTIVITIES(Prevention)ACT 1967,UNLAWFUL ACTIVITIES,17
SLAVERY,Boy,17
DEATHS DUE TO RASHNESS/NEGLIGENCE,Caused By Animal,16
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Over Civil Dispute,16
UNNATURAL SEX,Major - Man,16
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Property Disputes,16
PORNOGRAPHY,Video Film (Blue),15
KIDNAPPING AND ABDUCTION,Obtain Signature Forcibly,15
ROBBERY,At Banks,15
Karnataka State Local Act,Karnataka Treasure Trove Act 1962,15
DEATHS DUE TO RASHNESS/NEGLIGENCE,Explosion Accident,15
INSULTING MODESTY OF WOMEN (EVE TEASING),Public Conveyance,15
BURGLARY - DAY,At Banks,14
UNNATURAL SEX,Animal,14
THEFT,Govt. Vehicle,14
RECEIVING OF STOLEN PROPERTY,RECEIVING OF STOLEN PROPERTY,14
FORGERY,Forgery Of Passport,14
CRIMINAL MISAPPROPRIATION,Business Establishment,13
ARSON,Educational Institution,13
KIDNAPPING AND ABDUCTION,Procuration Of Minor Girls - Importing Of Girl,13
ATTEMPT TO MURDER,For Human Sacrifice,13
DOCUMENTS & PROPERTY MARKS,Property,13
ANIMAL,Wild Life Preservaion Act 1972,13
IMPERSONATION,Uniformed Authority,13
MURDER,For Human Sacrifice,12
ASSAULT,On Labourer,12
UNNATURAL SEX,Major - Woman,12
COUNTERFEITING,Of Others,12
Karnataka State Local Act,Karnataka Muncipalities Act 1964,12
CRIMINAL TRESPASS,Club,12
SLAVERY,Girl,12
POCSO,Rape with Murder,12
DEATHS DUE TO RASHNESS/NEGLIGENCE,Mine Accident,11
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Property Disputes,11
Giving false information respecting an offence com,Giving false information respecting an offence committed,11
KIDNAPPING AND ABDUCTION,For Ransom - of Girls For Immoral Purpose,11
ARSON,Place Of Worship,11
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Police Personnel,11
BURGLARY - NIGHT,In Trains,11
DEATHS-MISCARRIAGE,Woman,11
MURDER,Due To Communalism,11
CRIMINAL MISAPPROPRIATION,Bank,10
UNNATURAL SEX,Minor - Boy,10
MURDER,Village Dispute,10
CRIMINAL MISAPPROPRIATION,Other Government Organisation,10
DACOITY,In Trains,10
ASSAULT,On Public Servant,10
ROBBERY,At ATM,10
THEFT,Of Explosives,10
DEATHS DUE TO RASHNESS/NEGLIGENCE,Quarry Accident,9
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Over Civil Dispute,9
ADULTERATION,Food Grain,9
Karnataka State Local Act,Prevention of Insult to National Honours Act 1971,9
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Para Military Personnel,9
CASES OF HURT,Custodial,9
CRIMINAL CONSPIRACY,Conspiracy To Wage War,9
ATTEMPT TO MURDER,Electoral Gain,9
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Political Reasons,9
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Personal Vendetta Or Enemity,8
CHILDREN ACT,Probation of offenders Act 1958,8
Karnataka State Local Act,Karnataka Corruption Act,8
Karnataka State Local Act,Cooperative Society Act,8
Karnataka State Local Act,Karnataka Land Acquistion (Prohibition) Act 2007,8
RIOTS,Tribal,8
RAILWAYS ACT,Railway Property (Unlawful Posession) Act 1966,8
CRIMINAL MISAPPROPRIATION,Co-Operative Organisation,7
KIDNAPPING AND ABDUCTION,Murder(Homicide),7
COMMUNAL / RELIGION,Linguistic Issue,7
PORNOGRAPHY,Photograph,7
FORGERY,Organised (Racket),7
FOREIGNER,Registration of Foreigners Act 1939,7
Karnataka State Local Act,Bangalore Development Authority Act,7
ADULTERATION,Drug/Medicine,7
Karnataka State Local Act,"Prevention of violence against Doctors, Medical professionals and Medical institutions",7
CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,7
CRIMINAL MISAPPROPRIATION,Financial Institution,7
MURDER,Custodial,6
PORNOGRAPHY,Figures,6
INFANTICIDE,Female,6
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),MLA,6
THEFT,Of Cultural - Painting,6
Karnataka State Local Act,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,5
Karnataka State Local Act,Karnataka Consumer Protection Act 1986,5
ASSAULT,On Man (SC),5
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Due To Casteism,5
KIDNAPPING AND ABDUCTION,For Exporting,5
ANTIQUES (CULTURAL PROPERTY),Antiques & Art Treasures Act 1972,5
RAPE,By Hospital Staff,5
DEATHS-MISCARRIAGE,Woman And Child,5
Karnataka State Local Act,Karnataka Agriculture Marketing Regulation Act,5
DEATHS DUE TO RASHNESS/NEGLIGENCE,Boat Accident,5
Karnataka State Local Act,Karnataka Town & City Planning Act 1961,5
DEATHS DUE TO RASHNESS/NEGLIGENCE,Bridge/Dam Collapse,4
BURGLARY - DAY,On Highways,4
PORNOGRAPHY,Paper,4
KIDNAPPING AND ABDUCTION,Procuration Of Minor Girls - For Prostitution,4
ATTEMPT TO MURDER,Witch Craft (Sorcery),4
COUNTERFEITING,Of Stamps (Sec 255 To 263(A) IPC),4
SLAVERY,Man,4
COMMUNAL / RELIGION,Racial/Ethnic Issue,4
DACOITY,At Banks,4
POISONING-PROFESSIONAL,Fatal,4
RAPE,InCest,4
DOWRY DEATHS,By Relative/s In Law,4
Karnataka State Local Act,Karnataka Ayurvdeic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,4
BURGLARY - DAY,In Trains,4
DEATHS DUE TO RASHNESS/NEGLIGENCE,Accident by Air,3
ASSAULT,On Press,3
MURDER,Psychopathic/Serial Killer/ Lunacy,3
RAPE,By Parents,3
ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,For Gain,3
ATTEMPT TO MURDER,Rape,3
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,Adultery,3
POCSO,Custodial Rape,3
DEATHS DUE TO RASHNESS/NEGLIGENCE,Inflammable Substance,3
